id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
4817798,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:01:00.84669+00,45600,0,t,3909,-1629391876,1111111111101011
4817863,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:01:19.58631+00,45600,1,t,3910,-1629373136,1111111111111011
4817878,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:01:45.455801+00,45572,0,t,12582,-336039615,1111111101111111
4817890,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:01:49.805203+00,45571,0,t,12583,-336035265,1111111100111111
4817910,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:01:50.878239+00,45572,1,t,12584,-336034192,1111111110111111
4817924,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:02:01.095595+00,45571,1,t,12585,-336023975,1111111111111111
4817925,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:02:07.983825+00,45598,1,t,3911,-1629324739,1111111111111111
4817926,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:02:33.127597+00,45570,0,t,12586,-335991943,1111111111011111
4817927,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:02:37.463961+00,45569,0,t,12587,-335987607,1111111111001111
4817928,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:02:38.602174+00,45570,1,t,12588,-335986468,1111111111101111
4817936,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:02:48.360873+00,45569,1,t,12589,-335976710,1111111111111111
4817957,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:03:26.198262+00,11-0,0,t,3912,-1629246525,1111111111111110
4817966,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:03:44.062953+00,11-0,1,t,3913,-1629228660,1111111111111111
4817980,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:04:08.707302+00,45568,0,t,12590,-335896363,1111111111110111
4817983,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:04:13.113863+00,45567,0,t,12591,-335891957,1111111111110011
4817985,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:04:14.120933+00,45568,1,t,12592,-335890950,1111111111111011
4817996,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:04:23.834621+00,45567,1,t,12593,-335881236,1111111111111111
4818454,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:09:34.706111+00,45598,0,t,3914,-1628878017,1111111111111011
4818466,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:09:54.583035+00,45598,1,t,3915,-1628858140,1111111111111111
4818488,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:10:18.258854+00,45574,0,t,12594,-335526813,1111110111111111
4818489,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:10:22.654241+00,45573,0,t,12595,-335522417,1111110011111111
4818492,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:10:23.782325+00,45574,1,t,12596,-335521289,1111111011111111
4818517,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:10:33.687304+00,45573,1,t,12597,-335511384,1111111111111111
4818740,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:13:29.872753+00,45573,0,t,12598,-335335199,1111111011111111
4818741,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:13:34.232236+00,45574,0,t,12599,-335330840,1111110011111111
4818742,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:13:35.191157+00,45573,1,t,12600,-335329881,1111110111111111
4818749,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:13:39.574587+00,45574,1,t,12601,-335325497,1111111111111111
4818802,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:14:09.449225+00,45599,0,t,3916,-1628603274,1111111111110111
4818806,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:14:19.866652+00,45599,1,t,3917,-1628592857,1111111111111111
4820962,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:49:01.487173+00,11-0,0,t,3918,-1626511239,1111111111111110
4820983,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:49:33.117901+00,11-0,1,t,3919,-1626479609,1111111111111111
4821001,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:49:53.0386+00,45598,0,t,3920,-1626459688,1111111111111011
4821016,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:49:56.762827+00,45570,0,t,12602,-333148314,1111111111011111
4821059,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:02.200331+00,45569,0,t,12604,-333142877,1111111111101111
4821060,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:02.200331+00,45570,1,t,12604,-333142877,1111111111101111
4821067,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:01.105203+00,45570,0,t,12603,-333143972,1111111111001111
4821071,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:11.790934+00,45569,1,t,12605,-333133286,1111111111111111
4821072,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:11.790934+00,45570,1,t,12605,-333133286,1111111111111111
4821083,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:13.783563+00,45600,0,t,3921,-1626438943,1111111111101011
4821084,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:31.549225+00,45598,1,t,3922,-1626421177,1111111111101111
4821098,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:55.070314+00,45574,0,t,12606,-333090007,1111110111111111
4821104,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:50:59.424646+00,45573,0,t,12607,-333085653,1111110011111111
4821105,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:00.522811+00,45574,1,t,12608,-333084555,1111111011111111
4821106,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:00.603424+00,11-0,0,t,3923,-1626392123,1111111111101110
4821110,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:10.527827+00,45573,1,t,12609,-333074549,1111111111111111
4821121,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:18.204125+00,45600,1,t,3924,-1626374523,1111111111111110
4821142,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:44.183508+00,45572,0,t,12610,-333040894,1111111101111111
4821148,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:48.554876+00,45571,0,t,12611,-333036522,1111111100111111
4821149,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:55.394768+00,45572,1,t,12612,-333029683,1111111110111111
4821150,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:51:59.881217+00,45571,1,t,12613,-333025196,1111111111111111
4821159,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:05.455392+00,11-0,1,t,3925,-1626327271,1111111111111111
4821168,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:22.028047+00,45600,0,t,3926,-1626310699,1111111111101111
4821191,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:27.560958+00,45574,0,t,12614,-332997516,1111110111111111
4821221,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:31.938441+00,45573,0,t,12615,-332993139,1111110011111111
