,id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
993,4813987,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:19:23.48282+00,45601,0,t,3869,-1631889236,1111111111011110
994,4814006,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:19:33.855168+00,45601,1,t,3870,-1631878864,1111111111111110
995,4814020,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:19:36.950265+00,11-0,1,t,3871,-1631875769,1111111111111111
996,4814076,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:20:06.976564+00,45567,0,t,12500,-338538088,1111111111111011
997,4814077,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:20:05.915423+00,45568,0,t,12499,-338539149,1111111111110011
998,4814078,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:20:01.52505+00,45567,1,t,12498,-338543540,1111111111110111
999,4814093,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:20:16.743314+00,45568,1,t,12501,-338528321,1111111111111111
1000,4814244,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:22:02.621496+00,45575,0,t,12502,-338422444,1111101111111111
1001,4814255,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:22:07.059978+00,45576,0,t,12503,-338418005,1111001111111111
1002,4814257,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:22:08.020907+00,45575,1,t,12504,-338417044,1111011111111111
1003,4814258,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:22:12.406343+00,45576,1,t,12505,-338412659,1111111111111111
1004,4814296,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:22:41.3709+00,45599,0,t,3872,-1631691349,1111111111110111
1005,4814307,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:22:51.674201+00,45599,1,t,3873,-1631681045,1111111111111111
1006,4814530,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:25:06.06588+00,11-0,0,t,3874,-1631546654,1111111111111110
1007,4814550,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:25:37.726628+00,11-0,1,t,3875,-1631514993,1111111111111111
